station_distance,mean_humidity,mean_visibility_miles,mean_wind_speed_mph,precipitation_inches,cloud_cover,events,day_week,start_time,mean_temperature_f,duration
0.79628,78,9,11,0,7,0,Mon,13.36666667,58,1359
0.48189,43,10,5,0,1,0,Tue,9.1,74,834
0.39991,73,9,3,0,2,0,Wed,7.7,55,565
0.39991,58,10,5,0,2,1,Tue,9.033333333,50,1072
0.67032,57,10,4,0,0,0,Thu,18.56666667,56,727
0.36612,74,7,4,0,7,0,Fri,16.81666667,55,486
0.55117,60,10,8,0,4,0,Fri,9.45,77,404
0.7246,74,10,7,0,4,0,Tue,17.91666667,65,395
0.451,53,9,1,0,0,0,Fri,9,56,357
0.7246,67,10,10,0,4,0,Wed,13.01666667,68,341
0.55166,73,9,13,0,3,0,Sat,17.5,57,1105
0.69734,53,10,7,0,0,0,Wed,15.83333333,68,927
0.44983,67,10,9,0,2,0,Wed,18.33333333,67,656
0.54102,79,7,2,0,3,1,Sat,9.483333333,61,803
0.54976,78,10,9,0,5,0,Tue,19.86666667,63,434
0.54976,65,10,8,0.01,4,2,Wed,19.55,55,630
0.44983,65,10,12,0,5,0,Fri,18.78333333,63,586
0.46099,62,10,6,0,0,0,Mon,9.016666667,65,578
0.55117,68,10,11,0,4,0,Tue,17.53333333,60,428
0.36222,74,10,9,0,4,0,Thu,9.45,68,313
0.38632,75,10,8,0,4,0,Wed,19.61666667,59,478
0.47853,63,10,4,0,1,0,Wed,17.63333333,64,700
0.43738,68,10,9,0,5,0,Wed,8.566666667,68,805
0.43746,67,10,11,0,4,0,Sat,0.916666667,54,607
0.65663,40,10,5,0,0,0,Tue,18.35,67,697
0.38202,71,10,4,0,3,1,Tue,17.75,54,675
0.36608,68,10,11,0,5,0,Wed,17.23333333,63,721
0.55166,68,10,14,0,5,0,Thu,19.46666667,61,429
0.43746,66,10,12,0,5,0,Wed,9.883333333,64,763
0.55166,64,10,4,0,6,0,Tue,8.5,57,1515
0.43738,66,10,19,0,1,0,Tue,9.733333333,65,450
0.37521,71,10,9,0,4,0,Fri,14.2,69,598
0.79628,73,9,8,0,5,0,Mon,8.8,59,859
0.55117,69,10,16,0,6,0,Sat,20.51666667,61,505
0.54976,67,10,10,0,4,0,Wed,19.08333333,68,749
0.67032,52,10,6,0,2,0,Wed,18.26666667,59,802
0.46099,80,10,9,0,6,0,Fri,9.333333333,61,305
0.55166,60,10,10,0,1,0,Wed,8.733333333,66,552
0.65663,64,10,9,0,0,0,Mon,16.53333333,68,1857
0.43738,72,10,9,0,5,0,Thu,9.866666667,65,548
0.38202,66,10,9,0,4,0,Mon,8.766666667,69,550
0.65663,69,10,9,0,4,0,Fri,17.21666667,59,384
